iter	CrossEntropy
0	0.6905072347
1	0.6879250207
2	0.6853981476
3	0.6829079907
4	0.6804484183
5	0.6781137143
6	0.6757630322
7	0.6734836993
8	0.67124217
9	0.6690814213
10	0.6669300951
11	0.6649151944
12	0.6628448056
13	0.6608737025
14	0.6589708579
15	0.6570752435
16	0.6551921858
17	0.6533729393
18	0.6515495408
19	0.649767432
20	0.6480409153
21	0.6463413794
22	0.6446344632
23	0.6429791317
24	0.6414280823
25	0.6398800636
26	0.6383634329
27	0.6368938679
28	0.6353991127
29	0.633967113
30	0.6325593499
31	0.631185292
32	0.6298377505
33	0.628503697
34	0.6272107149
35	0.6259346515
36	0.6246756345
