nombres,perdida,Libor,mal,negativo,Oportunidad Swap Tasa int.,ganancia,suma_bad,suma_good,total
NOTAS_ENGIE_2019_4Q.txt,10.0,0.0,0.0,0.0,,17.0,10.0,17.0,7.0
NOTAS_LINDLEY_2018_1Q.txt,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0
NOTAS_LINDLEY_2019_3Q.txt,1.0,0.0,0.0,0.0,,2.0,1.0,2.0,1.0
NOTAS_LINDLEY_2019_1Q.txt,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0
NOTAS_ENGIE_2019_2Q.txt,7.0,0.0,0.0,0.0,,14.0,7.0,14.0,7.0
NOTAS_ENGIE_2019_1Q.txt,6.0,0.0,0.0,0.0,,14.0,6.0,14.0,8.0
NOTAS_LINDLEY_2019_2Q.txt,1.0,0.0,0.0,0.0,,3.0,1.0,3.0,2.0
NOTAS_LINDLEY_2019_4Q.txt,2.0,0.0,0.0,0.0,,1.0,2.0,1.0,-1.0
NOTAS_ENGIE_2019_3Q.txt,8.0,0.0,0.0,0.0,,14.0,8.0,14.0,6.0
NOTAS_LINDLEY_2018_4Q.txt,1.0,0.0,0.0,0.0,,2.0,1.0,2.0,1.0
NOTAS_LINDLEY_2018_3Q.txt,1.0,0.0,2.0,0.0,,0.0,3.0,0.0,-3.0
NOTAS_LINDLEY_2018_2Q.txt,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
NOTAS_ENGIE_2018_1Q.txt,7.0,0.0,1.0,1.0,,7.0,9.0,7.0,-2.0
NOTAS_ENGIE_2018_2Q.txt,4.0,0.0,3.0,0.0,,10.0,7.0,10.0,3.0
NOTAS_ENGIE_2018_3Q.txt,8.0,0.0,1.0,0.0,,9.0,9.0,9.0,0.0
NOTAS_ENGIE_2018_4Q.txt,15.0,0.0,1.0,0.0,,11.0,16.0,11.0,-5.0
NOTAS_SAGA_2019_2Q.txt,4.0,0.0,1.0,0.0,,11.0,5.0,11.0,6.0
NOTAS_SAGA_2019_1Q.txt,5.0,0.0,1.0,0.0,,10.0,6.0,10.0,4.0
NOTAS_SAGA_2019_4Q.txt,5.0,0.0,4.0,1.0,,9.0,10.0,9.0,-1.0
NOTAS_SAGA_2019_3Q.txt,5.0,0.0,1.0,0.0,,9.0,6.0,9.0,3.0
NOTAS_SAGA_2018_4Q.txt,8.0,0.0,1.0,0.0,,6.0,9.0,6.0,-3.0
NOTAS_SAGA_2018_3Q.txt,4.0,0.0,1.0,0.0,,9.0,5.0,9.0,4.0
NOTAS_SAGA_2018_2Q.txt,4.0,0.0,1.0,0.0,,10.0,5.0,10.0,5.0
NOTAS_SOLDX_2019_4Q.txt,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0
NOTAS_SOLDX_2019_2Q.txt,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
NOTAS_SOLDX_2019_1Q.txt,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
NOTAS_SAGA_2018_1Q.txt,4.0,0.0,1.0,0.0,,10.0,5.0,10.0,5.0
EEFF_ENGIE_2018_A.txt,9.0,0.0,1.0,0.0,,12.0,10.0,12.0,2.0
EEFF_BVENTUR_2019_A.txt,18.0,0.0,1.0,0.0,,15.0,19.0,15.0,-4.0
EEFF_ALICORP_2019_A.txt,1.0,0.0,1.0,0.0,,2.0,2.0,2.0,0.0
EEFF_LATAM_2019_A.txt,12.0,0.0,0.0,3.0,,17.0,15.0,17.0,2.0
NOTAS_TELEFON_2017_A.txt,8.0,0.0,0.0,0.0,,11.0,8.0,11.0,3.0
EEFF_SOUTHERN_2018_A.txt,5.0,0.0,0.0,0.0,,3.0,5.0,3.0,-2.0
EEFF_SAGA_2018_A.txt,9.0,0.0,6.0,1.0,,11.0,16.0,11.0,-5.0
EEFF_SAGA_2019_1Q.txt,4.0,0.0,1.0,0.0,,11.0,5.0,11.0,6.0
MA_ENGIE_2018_A.txt,7.0,0.0,1.0,0.0,,6.0,8.0,6.0,-2.0
MA_ENGIE_2017_A.txt,6.0,0.0,3.0,0.0,,7.0,9.0,7.0,-2.0
MA_LINDLEY_2018_A.txt,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,-1.0
NOTAS_AZTECA_2019_3Qp.txt,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,-2.0
NOTAS_AZTECA_2019_4Qp.txt,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,-1.0
NOTAS_INTER_2019_1Q.txt,5.0,0.0,1.0,0.0,,4.0,6.0,4.0,-2.0
